ref_id,authors_year,venue,dataset_used,method,main_claim,gap_left_open,relevance_to_LUNARVOID,read_status
Kaku2017,"Kaku et al. 2017","GRL 44 (doi:10.1002/2017GL074998)","SELENE (Kaguya) Lunar Radar Sounder 5 MHz tracks over Marius Hills","Radar sounder echo analysis for subsurface reflectors","SELENE LRS detection of intact lava tube echoes at Marius Hills; void extending tens of kilometres west of Marius Hills Hole; strongest independent corroboration of the GRAIL result","Sparse orbital tracks: can confirm or refute a specific candidate but cannot survey; no joint inference with other evidence streams","Tier-D confirmation layer for the Marius Hills study region; one leg of the MHH multi-evidence anchor (with GRAIL and Diviner)",queued
Chappaz2017,"Chappaz et al. 2017","GRL","GRAIL gravity models","Gradiometry and cross-correlation of gravity gradients for buried void/tube detection","GRAIL-gradient candidates for buried lunar lava tubes (e.g. Marius Hills; Sinus Iridum)","A published GRAIL-derived geometry (~9 km wide; 60 km long; 605 m deep; 55 m central height) is regarded by structural modellers as implausible as a single stable void; effective GRAIL resolution 10-30 km cannot resolve 60-300 m tubes","Defines what gravity can (kilometre-scale mass deficit) and cannot (tube-scale) constrain in the evidence hierarchy; motivates the physics screen (feasibility Gap 6)",queued
Zhu2024,"Zhu et al. 2024","Icarus 408:115814","GRAIL gravity field models over Marius Hills","Gravity-gradient analysis at Marius Hills","GRAIL gradient evidence consistent with a void at Marius Hills; corroborates the LRS and cross-correlation candidates","Same 10-30 km resolution ceiling as all GRAIL work; no calibrated sub-kilometre geometry inference","Third leg of the Marius Hills evidence anchor (with Kaku2017 LRS and Chappaz2017 GRAIL); Tier-D fusion input",queued
Horvath2022,"Horvath et al. 2022","GRL (doi:10.1029/2022GL099710)","Diviner nighttime thermal observations of lunar pits (Tranquillitatis; Ingenii) with thermal modelling","Thermal environment modelling and analysis of pits and caves from Diviner nighttime temperatures","Tranquillitatis and Ingenii pits run roughly 100 K warmer than surroundings at night; modelled cave interiors sit near a constant ~290 K; IMPORTANT NEGATIVE RESULT: thermal IR readily detects the pit signature but is essentially insensitive to whether a cave lies behind it","Thermal constrains pit presence only - not the cave behind it; no roof-thickness inversion via damping; no fusion with morphometry or gravity; no calibrated void probability","Anchors the Diviner row of the evidence hierarchy (confirmer only; blind to the cave - risk R6); motivates the I6 inverse damping workflow as the only thermal route to roof-thickness constraints",priority-done
Powell2023,"Powell et al. 2023","JGR Planets (doi:10.1029/2022JE007532)","Diviner LWIR nighttime observations","High-resolution Diviner nighttime temperature and rock-abundance derivation with topographic removal","Topographically-corrected nighttime temperature and rock-abundance products isolating thermophysical variation from illumination geometry","Thermophysical mapping only: no void inference; anomalies never inverted for roof thickness","Supplies the topography-removed thermal-anomaly and rock-abundance covariates for the fusion stack (Tier-D confirmation layer; I6 input)",queued
Blair2017,"Blair et al. 2017",not yet reviewed,not yet reviewed,"Lava tube roof stability and maximum stable width modelling",not yet reviewed,queued for reading,"One of three stability-bound anchors (with Theinat2020 and Chwala2024) establishing realistic stable tube spans of ~60-300 m beneath observed skylights; feeds the WP3 physics screen",queued
Theinat2020,"Theinat et al. 2020",not yet reviewed,not yet reviewed,"Lava tube roof stability modelling (structural analysis of maximum stable spans)",not yet reviewed,queued for reading,"Stability-bound anchor: finite-element limit analyses behind the ~60-300 m realistic-span estimates that become the physical prior of WP3 physics-informed screening",queued
Chwala2024,"Chwala et al. 2024","JGR Planets",not yet reviewed,"Lava tube stability bounds modelling",not yet reviewed,queued for reading,"Stability-bounds anchor (with Blair2017 and Theinat2020) setting the 60-300 m span prior encoded in WP3 physics-informed screening",queued
Sauro2020,"Sauro et al. 2020","Earth-Science Reviews (doi:10.1016/j.earscirev.2020.103288)","Published lava tube literature across Earth; Moon and Mars (incl. Corona/Lanzarote TLS survey chain)","Review and synthesis of lava tube science and survey methods","Comparative review of lava tubes on Earth; Moon and Mars; of nine identified terrestrial tube LiDAR surveys only five are open access","Review only: no detection methodology; no orbital detectability quantification; scattered open-data availability documented but not solved","Entry point to the terrestrial-analog corpus (Corona/Lanzarote chain) that anchors WP1; documents the open-access LiDAR landscape for LLTB-1 assembly",queued
Costello2026,"Costello et al. 2026","JGR Planets (doi:10.1029/2025JE009427)",not yet reviewed,"Protolith / rock-competence analysis at the two flagship pits","Tranquillitatis sits in competent dense basalt; Marius Hills in a more friable; vesicular protolith",queued for reading,"Protolith-competence covariate for WP3 physics screening; explains expected inter-site differences in stability and sag expression",queued
Barker2015,"Barker et al. 2015","Icarus","~4.5 billion LOLA altimetric heights co-registered with 43,200 one-degree Kaguya TC stereo DEMs","LOLA + SELENE Kaguya TC DEM merge (SLDEM2015)","SLDEM2015: near-global DEM within +/-60 deg latitude at 512 ppd (~59 m/px) with 3-4 m typical vertical accuracy","Too coarse to resolve 60-300 m tube signatures directly; ~2-3 m residual noise at some sites comparable to or larger than the sag signal; excludes latitudes beyond +/-60 deg; ~1% of poorest tiles replaced with interpolated LOLA-only data","The regional trend/reference surface for residual topography and the co-registration frame for every other layer (WP2 normalises against SLDEM2015 - never a surface fitted to the NAC DTM itself)",queued
Henriksen2017,"Henriksen et al. 2017","Icarus 283:122-137","LROC NAC DTMs validated against LOLA altimetry","NAC DTM production methodology with quantitative accuracy assessment (co-registration to LOLA; per-DTM error metrics: relative linear error at 90% confidence and triangulation RMS)","Published NAC DTMs reach 2-5 m posting with sub-metre vertical and under 10 m horizontal accuracy when registered to LOLA; the per-DTM error fields of SHAPEFILE_NAC_DTMS quantify vertical quality DTM-by-DTM","Error metrics are per-site summaries: no spatially correlated (systematic) error model; no propagation of DTM error into detection statistics; no noise-floor-versus-feature-size detectability analysis - exactly the gaps the inherited I2/I3 machinery fills","Supplies the DTM quality-tier system used to filter the primary substrate; its per-DTM relative linear error (e.g. TRANQPIT1 0.72 m at 90%) is the acceptance bar for the WP0 reproduction milestone",priority-done
Hurwitz2013,"Hurwitz et al. 2013","Planet. Space Sci. 79-80:1-38","195 globally distributed sinuous rilles digitised on Kaguya TC (ArcGIS shapefile plus dimension and observation tables; atlas over LROC WAC mosaic)","Manual catalogue and atlas compilation with morphometric tables (location; length; width; depth; slope; sinuosity; source volume; host-unit ages; associated features)","195 sinuous rilles catalogued; Oceanus Procellarum holds ~48%; rilles reach 566 km long; 4.3 km wide; 543 m deep","Defines rilles as continuously unroofed for their entire length - by construction excluding the partially-roofed bridge segments most interesting for tube detection; TC-digitised outlines carry small offsets vs LROC; community additions (196+) of uneven provenance","The hard-negative/confusion layer for the WP2 sag search and the search prior over rille systems; offset-correction against LROC is a pre-scoring step",queued
Cushing2015,"Cushing 2015/2017","Mars Global Cave Candidate Catalog PDS4 bundle (doi:10.17189/1519222)","CTX (~6 m/px) survey imagery with HiRISE (~0.25 m/px) follow-up of Mars","Manual candidate identification and catalogue compilation with feature type and priority/confidence rating","MGC3: over 1,000 Martian cave-entrance candidates (lava tube skylights; deep fractures; atypical pit craters; karst-like voids)","Confidence rating is a subjective expert judgement - not a calibrated probability; Mars domain gap (atmosphere; aeolian infill; gravity) must be handled explicitly","Cross-body pretraining and label-augmentation source to escape lunar label famine (WP3; Mars-trained/Moon-tested with domain-gap reporting)",queued
LaGrassa2024,"La Grassa et al. 2024","ISPRS J. Photogrammetry (LU5M812TGT; zenodo.org/records/13990480)","Global lunar crater inventory (~5 million craters to 0.4 km diameter; openly on Zenodo)",not yet reviewed,"LU5M812TGT: ~5 million lunar craters down to 0.4 km diameter; 69.3% below 1 km",queued for reading,"The definitive hard-negative/confusion inventory - any depression detector that cannot suppress this catalogue is not a void detector; source for secondary crater-chain masks (WP2 confusion layer)",queued
Wong2014,"Wong; Whittaker; Jones & Whittaker 2014","NASA analog dataset release (ti.arc.nasa.gov/dataset/caves)","FARO X130/X330 TLS point clouds (colourised; multi-station ICP-registered) of King's Bowl; Indian Tunnel surface and cave interior; HDR wall panel; Fieg; Sheepridge; 7-attribute float32 format with Matlab I/O","Terrestrial laser scanning of planetary pit/cave analogs; multi-station registration; watertight 3D-printable meshes","The only real ground truth in the field: ~4.5 GB of LiDAR across five sites including a tube interior (Indian Tunnel); Sheepridge ramps used to study Lacus Mortis pit traversability; Fieg cornered geometry resembles lunar impact-melt pits","Research/academic use only - licence gate for LLTB-1 redistribution; no site is a full intact tube with surveyed surface expression; last substantive update 2019; .rar/.f32 packaging needs conversion work","The WP1 anchor: paired surface/subsurface geometry for the degradation ladder and the only validation data where the answer is known",queued
WatsonBaldini2024,"Watson & Baldini 2024","Icarus 411:115952","Lunar NAC imagery plus Martian HiRISE pit data plus synthetic lunar images (warped Martian pit pixels implanted into empty NAC frames)","Mask R-CNN with ResNet50 backbone trained jointly on lunar; Martian and synthetic implanted data","~89% bbox F1 and ~96% mask F1 for candidate cave-entrance detection (lunar/Martian)","2D raster detection only: no DTM morphometry; no subsurface inference; no PU treatment; no FP-per-area reporting; occupies the obvious ML-detection niche","Risk R8 prior-art collision: cite early and position clearly against it; precursor line to the ESSA baseline (LeCorre2025)",queued
Silburt2019,"Silburt et al. 2019","Icarus (DeepMoon; code MIT at github.com/silburt/DeepMoon; data doi:10.5281/zenodo.1133969)","Global lunar DEM downsampled to 118 m/px with crater catalogues; well-documented HDF5 train/validation/test splits; Keras model weights","CNN crater detection (DeepMoon) with open data and model outputs","Deep-learning crater detection at global scale; the cleanest available open planetary detection dataset structure","Wrong target class entirely (craters - not voids); 2D raster pipeline with no overhang or 3D capability","Engineering pattern for LLTB-1 packaging (splits; licence; documentation) and a hard-negative source - its craters are exactly the confusers our detector must reject",queued
Slater2017,"Slater et al. 2017","The Cryosphere 11(2):989-996",not yet reviewed,"Snow thermal damping metric relating thickness to temperature-offset attenuation",not yet reviewed,queued for reading,"Damping-metric basis (with Sturm1997) for the I6 workflow that LUNARVOID runs inverse on Diviner anomalies to constrain roof thickness",queued
Sturm1997,"Sturm et al. 1997","J. Glaciology 43(143):26-41",not yet reviewed,"Effective thermal conductivity of snow",not yet reviewed,queued for reading,"k_eff source for the I6 thermal-damping physics when translated to regolith and basalt columns",queued
vanEwijk2011,"van Ewijk et al. 2011","PE&RS 77:261-269",not yet reviewed,"Vertical Complexity Index definition (Shannon entropy of the vertical point distribution)",not yet reviewed,queued for reading,"Original VCI definition that I8 repurposes as the pit-wall/overhang detector",queued
MontanezMunoz2025,"Montanez Munoz et al. 2025","JGR Planets","Terrestrial lava tube analog site (gravity and geometry data)","Gravity forward modelling of a terrestrial analog lava tube","Forward-modelled gravity signature of a real terrestrial tube at analog scale",queued for reading,"Template for honest gravity-scale expectations in the WP3 fusion stream - what a tube anomaly actually looks like before claiming one from GRAIL",queued
LunarLeaper2025,not yet reviewed,"Acta Astronautica (2025)",not yet reviewed,"Mission concept design (LunarLeaper hopper) for pit and lava tube subsurface exploration","Marius Hills Hole is the primary target of the LunarLeaper mission concept",queued for reading,"The handoff target: WP6 value-of-information ranking (P(void) with accessibility and science return) is built to be consumable by LunarLeaper-class missions",queued
